Symbol,Threshold,Max_Streak_Pos,Max_Streak_Neg,Pattern,Pattern_Name,Category,Chance,Prob,Stats
BBL,±1.5%,4,4,-+,2D_Reversal_Up,Reversal,🟢 UP,47%,62/130 (5000)
BBL,±1.5%,4,4,--,2_Days_Down,Trend,🟢 UP,57%,63/109 (5000)
BBL,±1.5%,4,4,+++,3_Days_Up,Trend,🟢 UP,50%,11/22 (5000)
BBL,±1.5%,4,4,++-,3D_Reversal_Down,Reversal,🟢 UP,50%,13/26 (5000)
BBL,±1.5%,4,4,+-+,3D_Mixed_+-+,Mixed,🟢 UP,57%,16/28 (5000)
BBL,±1.5%,4,4,+--,3D_Reversal_Down,Reversal,🟢 UP,65%,13/20 (5000)
BBL,±1.5%,4,4,-++,3D_Reversal_Up,Reversal,🔴 DOWN,47%,16/34 (5000)
BBL,±1.5%,4,4,-+-,3D_Mixed_-+-,Mixed,🟢 UP,59%,19/32 (5000)
BBL,±1.5%,4,4,--+,3D_Reversal_Up,Reversal,🔴 DOWN,46%,18/39 (5000)
BBL,±1.5%,4,4,---,3_Days_Down,Trend,🟢 UP,84%,16/19 (5000)
BBL,±1.5%,4,4,++++,4_Days_Up,Trend,🔴 DOWN,40%,2/5 (5000)
BBL,±1.5%,4,4,+++-,4D_Reversal_Down,Reversal,🟢 UP,100%,2/2 (5000)
BBL,±1.5%,4,4,++-+,4D_Mixed_++-+,Mixed,🟢 UP,42%,3/7 (5000)
BBL,±1.5%,4,4,++--,4D_Reversal_Down,Reversal,🔴 DOWN,25%,1/4 (5000)
BBL,±1.5%,4,4,+-++,4D_Mixed_+-++,Mixed,🔴 DOWN,50%,5/10 (5000)
BBL,±1.5%,4,4,+-+-,4D_Reversal_Down,Reversal,🟢 UP,50%,3/6 (5000)
BBL,±1.5%,4,4,+--+,4D_Mixed_+--+,Mixed,🟢 UP,50%,4/8 (5000)
BBL,±1.5%,4,4,+---,4D_Reversal_Down,Reversal,🟢 UP,100%,3/3 (5000)
BBL,±1.5%,4,4,-+++,4D_Reversal_Up,Reversal,🟢 UP,42%,3/7 (5000)
BBL,±1.5%,4,4,-++-,4D_Mixed_-++-,Mixed,🔴 DOWN,33%,3/9 (5000)
BBL,±1.5%,4,4,-+-+,4D_Reversal_Up,Reversal,🟢 UP,58%,7/12 (5000)
BBL,±1.5%,4,4,-+--,4D_Mixed_-+--,Mixed,🟢 UP,80%,4/5 (5000)
BBL,±1.5%,4,4,--++,4D_Reversal_Up,Reversal,🔴 DOWN,50%,5/10 (5000)
BBL,±1.5%,4,4,--+-,4D_Mixed_--+-,Mixed,🟢 UP,66%,8/12 (5000)
BBL,±1.5%,4,4,---+,4D_Reversal_Up,Reversal,🔴 DOWN,50%,5/10 (5000)
BBL,±1.5%,4,4,----,4_Days_Down,Trend,🟢 UP,100%,2/2 (5000)
BDMS,±2.1%,5,5,+,1_Days_Up,Trend,🟢 UP,39%,183/463 (5000)
BDMS,±2.1%,5,5,-,1_Days_Down,Trend,🟢 UP,52%,170/323 (5000)
BDMS,±2.1%,5,5,++,2_Days_Up,Trend,🟢 UP,48%,34/70 (5000)
BDMS,±2.1%,5,5,+-,2D_Reversal_Down,Reversal,🟢 UP,44%,22/50 (5000)
BDMS,±2.1%,5,5,-+,2D_Reversal_Up,Reversal,🟢 UP,46%,25/54 (5000)
BDMS,±2.1%,5,5,--,2_Days_Down,Trend,🔴 DOWN,58%,24/41 (5000)
BDMS,±2.1%,5,5,+++,3_Days_Up,Trend,🟢 UP,56%,9/16 (5000)
BDMS,±2.1%,5,5,++-,3D_Reversal_Down,Reversal,🟢 UP,30%,3/10 (5000)
BDMS,±2.1%,5,5,+-+,3D_Mixed_+-+,Mixed,🔴 DOWN,66%,2/3 (5000)
BDMS,±2.1%,5,5,+--,3D_Reversal_Down,Reversal,🟢 UP,100%,4/4 (5000)
BDMS,±2.1%,5,5,-++,3D_Reversal_Up,Reversal,🟢 UP,60%,6/10 (5000)
BDMS,±2.1%,5,5,-+-,3D_Mixed_-+-,Mixed,🔴 DOWN,37%,3/8 (5000)
BDMS,±2.1%,5,5,--+,3D_Reversal_Up,Reversal,🟢 UP,80%,8/10 (5000)
BDMS,±2.1%,5,5,---,3_Days_Down,Trend,🔴 DOWN,55%,5/9 (5000)
BDMS,±2.1%,5,5,++++,4_Days_Up,Trend,🟢 UP,66%,4/6 (5000)
BDMS,±2.1%,5,5,+++-,4D_Reversal_Down,Reversal,🟢 UP,75%,3/4 (5000)
BDMS,±2.1%,5,5,+-+-,4D_Reversal_Down,Reversal,⚪ SIDE,0%,0/1 (5000)
BDMS,±2.1%,5,5,+--+,4D_Mixed_+--+,Mixed,🟢 UP,100%,1/1 (5000)
BDMS,±2.1%,5,5,-+++,4D_Reversal_Up,Reversal,🟢 UP,66%,2/3 (5000)
BDMS,±2.1%,5,5,-++-,4D_Mixed_-++-,Mixed,⚪ SIDE,0%,0/1 (5000)
BDMS,±2.1%,5,5,-+--,4D_Mixed_-+--,Mixed,🟢 UP,100%,1/1 (5000)
BDMS,±2.1%,5,5,--++,4D_Reversal_Up,Reversal,🟢 UP,66%,2/3 (5000)
BDMS,±2.1%,5,5,--+-,4D_Mixed_--+-,Mixed,🔴 DOWN,0%,0/1 (5000)
BDMS,±2.1%,5,5,---+,4D_Reversal_Up,Reversal,🟢 UP,100%,3/3 (5000)
BDMS,±2.1%,5,5,----,4_Days_Down,Trend,🔴 DOWN,66%,2/3 (5000)
BDMS,±2.1%,5,5,+++++,Streak_Up_5,Breakout,🔴 DOWN,50%,1/2 (5000)
BDMS,±2.1%,5,5,-----,Streak_Down_5,Breakout,🟢 UP,100%,1/1 (5000)
BEM,±1.1%,4,3,+,1_Days_Up,Trend,🔴 DOWN,33%,154/465 (2443)
BEM,±1.1%,4,3,-,1_Days_Down,Trend,🟢 UP,47%,228/477 (2443)
